game	clip_id	filename	segment_role	place_in_game	source_title	source_url	video_id	owner_or_channel	licensing_status	start_time_sec	end_time_sec	duration_sec	what_happens	why_used	has_audio	other_factors	unlicensed_reason
Ant Explorer	11_architecture	11_architecture.ogv		Deep tunnels — discovery / re-watch	My Dream Ant Farm: Leafcutter Ants (AntsCanada)	https://www.youtube.com/watch?v=VA_3ul0drnQ	VA_3ul0drnQ	AntsCanada (Frank Mortimer)	YOUTUBE-STANDARD	120	155	35	Clear-chamber nest architecture in captive exhibit	MODERATE FIT: VO says desert leafcutters; source is Insectarium Atta	yes		YouTube standard license — no redistribution rights for APK embed
Ant Explorer	12_invaders	12_invaders.ogv		Invasion clearing — discovery / re-watch	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	8n0SkIGARuo	BBC	YOUTUBE-STANDARD	4490	4520	30	Nest defense combat / swarm response	Good fit; content-safety review	yes		YouTube standard license — no redistribution rights for APK embed
Solar System Explorer	sun	sun.ogv	explainer	Learn more from Sun orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe (@KnowtheWorld)	YOUTUBE-STANDARD	8	62	54	Narrated Sun animation facts	Kid explainer; shared VectorGlobe source	yes	BLOCKER for redistribution; credit channel	No commercial redistribution license for embedded clip
Solar System Explorer	mercury	mercury.ogv	explainer	Learn more from Mercury orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	89	145	56	Mercury explainer	Standard VectorGlobe beat	yes	BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	venus	venus.ogv	explainer	Learn more from Venus orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	145	199	54	Venus explainer	Standard beat	yes	BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	earth	earth.ogv	explainer	Learn more from Earth orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	199	276	77	Earth explainer	Longest VectorGlobe beat	yes	BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	mars	mars.ogv	opener	Learn more from Mars orbit	Mars in 4K: The Clearest Footage You Will Ever See	https://www.youtube.com/watch?v=Vy_RPd0rblI	Vy_RPd0rblI	ElderFox Documentaries	YOUTUBE-STANDARD	5	17	12	4K Mars surface/rover-style footage	POOR FIT: labeled Perseverance but third-party aggregator not NASA	yes	HIGH RISK BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	mars	mars.ogv	explainer	Learn more from Mars orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	276	337	61	Mars explainer	Standard beat	yes	BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	asteroid_belt	asteroid_belt.ogv	explainer	Chained after Ceres/Vesta/Psyche Learn more	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	337	351	14	Asteroid belt short beat	No opener; always chained	yes	BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	vesta	vesta.ogv	mission	Learn more from Vesta then chain to belt	Video: Virtual flight over asteroid Vesta (HD)	https://www.dlr.de/en/media/publications/miscellaneous/2012/video-virtual-flight-over-asteroid-vesta-hd_490/@@download/file		DLR (German Aerospace Center)	DLR-COPYRIGHT	78	93	15	Virtual Dawn flyover surface stretch	Avoids German title cards	yes	Not U.S. PD; verify DLR redistribution terms — treat as BLOCKER until cleared	DLR copyright — clear before redistribute
Solar System Explorer	jupiter	jupiter.ogv	explainer	Learn more from Jupiter orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	351	419	68	Jupiter explainer	Standard beat	yes	BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	saturn	saturn.ogv	explainer	Learn more from Saturn orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	419	487	68	Saturn explainer	Standard beat	yes	BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	uranus	uranus.ogv	opener	Learn more from Uranus orbit	Voyager II... Encounter with Uranus	https://www.youtube.com/watch?v=1EWTku7Fr0Y	1EWTku7Fr0Y	atwaterpub	YOUTUBE-STANDARD	50	62	12	Voyager 2 Uranus encounter imagery	POOR FIT: third-party repost not NASA channel	yes	HIGH RISK BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	uranus	uranus.ogv	explainer	Learn more from Uranus orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	487	558	71	Uranus explainer	Standard beat	yes	BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	neptune	neptune.ogv	opener	Learn more from Neptune orbit	Voyager II | Neptune Approach	https://www.youtube.com/watch?v=dthZsl9AkgA	dthZsl9AkgA	Space9	YOUTUBE-STANDARD	0	10	10	Whole 10s Voyager approach upload	POOR FIT: third-party; entire source consumed	yes	HIGH RISK BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	neptune	neptune.ogv	explainer	Learn more from Neptune orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	558	630	72	Neptune explainer	Standard beat	yes	BLOCKER	No commercial redistribution license for embedded clip
Solar System Explorer	pluto	pluto.ogv	explainer	Learn more from Pluto orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	630	657	27	Short Pluto/dwarf-planet tail	Abrupt vs longer planet clips	yes	BLOCKER	No commercial redistribution license for embedded clip
Garden Explorer	coop_eggs	coop_eggs.ogv		Coop look (World.gd)	coop_eggs.mp4	tools/media_src/footage/coop_eggs.mp4		Undocumented local footage	BLOCKER	0	19.8	19.8	This is the chicken coop, where the hens sleep and lay their eggs. Every morning, farmers gently lift the eggs out of the nesting boxes. The hens keep their eggs warm and cozy in the soft straw. Fresh eggs get washed and kept cool — ready for breakfast!	Egg collection lesson	True	{'undocumented_source': 'coop_eggs.mp4'}	Undocumented source footage — cannot clear
