game	clip_id	filename	segment_role	place_in_game	source_title	source_url	video_id	owner_or_channel	licensing_status	start_time_sec	end_time_sec	duration_sec	what_happens	why_used	has_audio	other_factors
Ant Explorer	11_architecture	11_architecture.ogv		Deep tunnels — discovery / re-watch	My Dream Ant Farm: Leafcutter Ants (AntsCanada)	https://www.youtube.com/watch?v=VA_3ul0drnQ	VA_3ul0drnQ	AntsCanada (Frank Mortimer)	YOUTUBE-STANDARD	120	155	35	Clear-chamber nest architecture in captive exhibit	MODERATE FIT: VO says desert leafcutters; source is Insectarium Atta	yes	
Ant Explorer	12_invaders	12_invaders.ogv		Invasion clearing — discovery / re-watch	Planet Ant: Life Inside the Colony (BBC, 2013)	https://www.youtube.com/watch?v=8n0SkIGARuo	8n0SkIGARuo	BBC	YOUTUBE-STANDARD	4490	4520	30	Nest defense combat / swarm response	Good fit; content-safety review	yes	
Solar System Explorer	sun	sun.ogv	opener	Learn more from Sun orbit	NASA | Thermonuclear Art – The Sun In Ultra-HD (4K)	https://www.youtube.com/watch?v=6tmbeLTHC_0	6tmbeLTHC_0	NASA Goddard	NASA-PD-LIKELY	85	97	12	SDO ultra-HD solar surface	Alive NASA opener	yes	Verify embedded music
Solar System Explorer	sun	sun.ogv	explainer	Learn more from Sun orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe (@KnowtheWorld)	YOUTUBE-STANDARD	8	62	54	Narrated Sun animation facts	Kid explainer; shared VectorGlobe source	yes	BLOCKER for redistribution; credit channel
Solar System Explorer	mercury	mercury.ogv	opener	Learn more from Mercury orbit	MESSENGER at Mercury	https://www.youtube.com/watch?v=ENwD31EDFjc	ENwD31EDFjc	NASA Solar System	NASA-PD-LIKELY	95	107	12	MESSENGER false-color globe	Real mission opener	yes	
Solar System Explorer	mercury	mercury.ogv	explainer	Learn more from Mercury orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	89	145	56	Mercury explainer	Standard VectorGlobe beat	yes	BLOCKER
Solar System Explorer	venus	venus.ogv	opener	Learn more from Venus orbit	Magellan: Venus False-Color Terrain	https://www.youtube.com/watch?v=yUrIzPRI4GE	yUrIzPRI4GE	NASA SVS	NASA-PD-LIKELY	6	18	12	Magellan radar map flyover	Real radar opener	yes	
Solar System Explorer	venus	venus.ogv	explainer	Learn more from Venus orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	145	199	54	Venus explainer	Standard beat	yes	BLOCKER
Solar System Explorer	earth	earth.ogv	opener	Learn more from Earth orbit	One Year on Earth – Seen From 1 Million Miles	https://www.youtube.com/watch?v=CFrP6QfbC2g	CFrP6QfbC2g	NASA Goddard	NASA-PD-LIKELY	10	22	12	DSCOVR/EPIC blue marble	Iconic Earth opener	yes	
Solar System Explorer	earth	earth.ogv	explainer	Learn more from Earth orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	199	276	77	Earth explainer	Longest VectorGlobe beat	yes	BLOCKER
Solar System Explorer	mars	mars.ogv	opener	Learn more from Mars orbit	Mars in 4K: The Clearest Footage You Will Ever See	https://www.youtube.com/watch?v=Vy_RPd0rblI	Vy_RPd0rblI	ElderFox Documentaries	YOUTUBE-STANDARD	5	17	12	4K Mars surface/rover-style footage	POOR FIT: labeled Perseverance but third-party aggregator not NASA	yes	HIGH RISK BLOCKER
Solar System Explorer	mars	mars.ogv	explainer	Learn more from Mars orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	276	337	61	Mars explainer	Standard beat	yes	BLOCKER
Solar System Explorer	asteroid_belt	asteroid_belt.ogv	explainer	Chained after Ceres/Vesta/Psyche Learn more	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	337	351	14	Asteroid belt short beat	No opener; always chained	yes	BLOCKER
Solar System Explorer	ceres	ceres.ogv	mission	Learn more from Ceres then chain to belt	Fly Over Dwarf Planet Ceres	https://www.youtube.com/watch?v=uSaLVAl-ObY	uSaLVAl-ObY	NASA JPL	NASA-PD-LIKELY	5	20	15	Dawn flyover including bright spots	Real mission; no VectorGlobe	yes	
Solar System Explorer	vesta	vesta.ogv	mission	Learn more from Vesta then chain to belt	Video: Virtual flight over asteroid Vesta (HD)	https://www.dlr.de/en/media/publications/miscellaneous/2012/video-virtual-flight-over-asteroid-vesta-hd_490/@@download/file		DLR (German Aerospace Center)	DLR-COPYRIGHT	78	93	15	Virtual Dawn flyover surface stretch	Avoids German title cards	yes	Not U.S. PD; verify DLR redistribution terms — treat as BLOCKER until cleared
Solar System Explorer	psyche	psyche.ogv	mission	Learn more from Psyche then chain to belt	JPL-20230929-PSYCHEf-0004-Hype	http://images-assets.nasa.gov/video/JPL-20230929-PSYCHEf-0004-Hype/JPL-20230929-PSYCHEf-0004-Hype~large.mp4		NASA/JPL	NASA-PD-LIKELY	3	13	10	Mission teaser CGI / metal asteroid	Happening-now story; mostly CGI	yes	
Solar System Explorer	jupiter	jupiter.ogv	opener	Learn more from Jupiter orbit	Fly into the Great Red Spot with NASA's Juno	https://www.youtube.com/watch?v=uj3Lq7Gu94Y	uj3Lq7Gu94Y	NASA	NASA-PD-LIKELY	5	17	12	Juno Great Red Spot fly-in	Dramatic opener	yes	
Solar System Explorer	jupiter	jupiter.ogv	explainer	Learn more from Jupiter orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	351	419	68	Jupiter explainer	Standard beat	yes	BLOCKER
Solar System Explorer	saturn	saturn.ogv	opener	Learn more from Saturn orbit	Cassini: The Wonder of Saturn	https://www.youtube.com/watch?v=htOoWJmYVtQ	htOoWJmYVtQ	NASA JPL	NASA-PD-LIKELY	28	40	12	Cassini ringed Saturn beauty shot	Good fit	yes	
Solar System Explorer	saturn	saturn.ogv	explainer	Learn more from Saturn orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	419	487	68	Saturn explainer	Standard beat	yes	BLOCKER
Solar System Explorer	uranus	uranus.ogv	opener	Learn more from Uranus orbit	Voyager II... Encounter with Uranus	https://www.youtube.com/watch?v=1EWTku7Fr0Y	1EWTku7Fr0Y	atwaterpub	YOUTUBE-STANDARD	50	62	12	Voyager 2 Uranus encounter imagery	POOR FIT: third-party repost not NASA channel	yes	HIGH RISK BLOCKER
Solar System Explorer	uranus	uranus.ogv	explainer	Learn more from Uranus orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	487	558	71	Uranus explainer	Standard beat	yes	BLOCKER
Solar System Explorer	neptune	neptune.ogv	opener	Learn more from Neptune orbit	Voyager II | Neptune Approach	https://www.youtube.com/watch?v=dthZsl9AkgA	dthZsl9AkgA	Space9	YOUTUBE-STANDARD	0	10	10	Whole 10s Voyager approach upload	POOR FIT: third-party; entire source consumed	yes	HIGH RISK BLOCKER
Solar System Explorer	neptune	neptune.ogv	explainer	Learn more from Neptune orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	558	630	72	Neptune explainer	Standard beat	yes	BLOCKER
Solar System Explorer	pluto	pluto.ogv	opener	Learn more from Pluto orbit	New Horizons Flyover of Pluto	https://www.youtube.com/watch?v=g1fPhhTT2Oo	g1fPhhTT2Oo	NASA Video	NASA-PD-LIKELY	35	47	12	New Horizons digital flyover	Good fit	yes	
Solar System Explorer	pluto	pluto.ogv	explainer	Learn more from Pluto orbit	The Solar System Explained (2026)	https://www.youtube.com/watch?v=1wyr5rWonbE	1wyr5rWonbE	VectorGlobe	YOUTUBE-STANDARD	630	657	27	Short Pluto/dwarf-planet tail	Abrupt vs longer planet clips	yes	BLOCKER
Garden Explorer	01_seeds	01_seeds.ogv		"Knowledge star `01_seeds` — ""What is a seed?"" (zone=shed)"	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/01_seeds.png		Project / Sprout Lands-derived portraits	OWN	0	23.3	23.3	What is a seed?: A seed is a tiny plant waiting to wake up. Inside every seed is a baby plant and a snack of food to help it start growing. Seeds come in all shapes and sizes — some tiny like a dot, some big like a bean. When a seed gets soil, water, and warmth, it wakes up and starts to grow!	12-star curriculum with ElevenLabs VO	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': 'SciShow Kids — How Does A Seed Become A Plant?', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=tkFPyue5X3Q', 'stars_tsv_planned_trim': {'start': 40.0, 'end': 80.0, 'url': 'https://www.youtube.com/watch?v=-rJdVQNy6TY', 'duration': 40.0}}
Garden Explorer	02_soil	02_soil.ogv		"Knowledge star `02_soil` — ""Soil & garden beds"" (zone=beds)"	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/02_soil.png		Project / Sprout Lands-derived portraits	OWN	0	21.6	21.6	Soil and garden beds: Soil is like a cozy bed and a kitchen for plants, all in one. It holds water and food that roots drink up. Good garden soil is soft and crumbly, so roots can stretch out. Gardeners rake their beds nice and smooth before planting, so every seed has a comfy home.	12-star curriculum with ElevenLabs VO	True	"{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': ""SciShow Kids — Let's Plant a Garden!"", 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=0TJuJTFEBbs', 'stars_tsv_planned_trim': {'start': 60.0, 'end': 100.0, 'url': 'https://www.youtube.com/watch?v=0TJuJTFEBbs', 'duration': 40.0}}"
Garden Explorer	03_planting	03_planting.ogv		"Knowledge star `03_planting` — ""How to plant a seed"" (zone=beds)"	Garden cress timelapse.webm	https://commons.wikimedia.org/wiki/File:Garden_cress_timelapse.webm		Wikimedia Commons contributor	CC-BY-SA	0	18.2	18.2	How to plant a seed: Planting a seed is easy and fun! First, poke a little hole in the soil with your finger. Drop the seed in, and tuck it in with a blanket of soil. Give it a gentle drink of water, and say good night, little seed — see you when you sprout!	12-star curriculum with ElevenLabs VO	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'Ivan Inspects — Planting Seeds For Kids', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=yUocBRrdsC8', 'stars_tsv_planned_trim': {'start': 120.0, 'end': 160.0, 'url': 'https://www.youtube.com/watch?v=0TJuJTFEBbs', 'duration': 40.0}, 'license_note': 'Commons file-page verification recommended'}
Garden Explorer	04_watering	04_watering.ogv		"Knowledge star `04_watering` — ""Watering plants"" (zone=beds)"	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/04_watering.png		Project / Sprout Lands-derived portraits	OWN	0	19.2	19.2	Watering plants: Plants get thirsty, just like you! Their roots drink water from the soil and send it all the way up to the leaves. A gentle sprinkle is best — too much water can make roots soggy. The best time to water the garden is in the cool morning, before the sun gets hot.	12-star curriculum with ElevenLabs VO	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': 'Goally — How to Water the Plants for Kids', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=EygnB6i32t4', 'stars_tsv_planned_trim': {'start': 160.0, 'end': 200.0, 'url': 'https://www.youtube.com/watch?v=0TJuJTFEBbs', 'duration': 40.0}}
Garden Explorer	05_sprouting	05_sprouting.ogv		"Knowledge star `05_sprouting` — ""Seeds sprouting"" (zone=beds)"	Mung bean germination.ogv	https://commons.wikimedia.org/wiki/File:Mung_bean_germination.ogv		Wikimedia Commons contributor	CC-BY-SA	0	17.7	17.7	Seeds sprouting: When a seed wakes up, we say it sprouts! First a little root grows down, down, down into the soil. Then a green shoot pushes up, up, up toward the light. The first tiny leaves unfold like little hands saying hello to the sun!	12-star curriculum with ElevenLabs VO	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'SciShow Kids — Watch a Seed Sprout!', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=-rJdVQNy6TY', 'stars_tsv_planned_trim': {'start': 120.0, 'end': 165.0, 'url': 'https://www.youtube.com/watch?v=-rJdVQNy6TY', 'duration': 45.0}, 'license_note': 'Commons file-page verification recommended'}
Garden Explorer	06_sunlight	06_sunlight.ogv		"Knowledge star `06_sunlight` — ""Sunlight & growing"" (zone=beds)"	Heliotropism in Helianthus annuus.webm	https://commons.wikimedia.org/wiki/File:Heliotropism_in_Helianthus_annuus.webm		Wikimedia Commons contributor	CC-BY-SA	0	17.2	17.2	Sunlight and growing: Sunlight is plant food power! Leaves catch sunshine and use it to make sugar — that is how plants make their own lunch. This special trick is called photosynthesis. That is why plants lean toward the light, and why gardens love sunny days!	12-star curriculum with ElevenLabs VO	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'Dr. Binocs — Photosynthesis', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=D1Ymc311XS8', 'stars_tsv_planned_trim': {'start': 100.0, 'end': 140.0, 'url': 'https://www.youtube.com/watch?v=0TJuJTFEBbs', 'duration': 40.0}, 'license_note': 'Commons file-page verification recommended'}
Garden Explorer	07_growing	07_growing.ogv		"Knowledge star `07_growing` — ""Watching plants grow"" (zone=beds)"	Timelapse-Basil-growing.ogv	https://commons.wikimedia.org/wiki/File:Timelapse-Basil-growing.ogv		Wikimedia Commons contributor	CC-BY-SA	0	20.1	20.1	Watching plants grow: Plants grow a little bit every single day. First comes the sprout, then more leaves, then the plant grows tall and strong. Some plants grow flowers, and the flowers turn into fruits and vegetables. Be patient, water often, and watch the magic happen!	12-star curriculum with ElevenLabs VO	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'Goodful — Seed growing time lapses', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=ECibetK2EYI', 'stars_tsv_planned_trim': {'start': 180.0, 'end': 225.0, 'url': 'https://www.youtube.com/watch?v=-rJdVQNy6TY', 'duration': 45.0}, 'license_note': 'Commons file-page verification recommended'}
Garden Explorer	08_weeding	08_weeding.ogv		"Knowledge star `08_weeding` — ""Uprooting & clearing space"" (zone=beds)"	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/08_weeding.png		Project / Sprout Lands-derived portraits	OWN	0	17.7	17.7	Uprooting and clearing space: Sometimes a garden gets crowded, and plants have to share too much. Weeds sneak in and gobble up the water and sunlight our vegetables need. Gardeners gently pull them out, roots and all. With more room, our garden plants grow bigger and happier!	12-star curriculum with ElevenLabs VO	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': 'Hand weeding techniques', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=kcibswxqncI', 'stars_tsv_planned_trim': {'start': 200.0, 'end': 240.0, 'url': 'https://www.youtube.com/watch?v=0TJuJTFEBbs', 'duration': 40.0}}
Garden Explorer	09_harvest	09_harvest.ogv		"Knowledge star `09_harvest` — ""Harvesting the garden"" (zone=beds)"	Harvest (20181008-FPAC-KLS-0011).webm	https://commons.wikimedia.org/wiki/File:Harvest_(20181008-FPAC-KLS-0011).webm		Wikimedia Commons contributor	PD	0	16.3	16.3	Harvesting the garden: Harvest time is the best part of gardening! It is when the fruits and vegetables are ripe and ready to pick. We pull carrots, snap beans, and twist tomatoes gently off the vine. Then we get to eat the yummy food we grew ourselves!	12-star curriculum with ElevenLabs VO	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'Ivan Inspects — Harvesting A Garden', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=Bd6zgWz6lUo', 'stars_tsv_planned_trim': {'start': 240.0, 'end': 275.0, 'url': 'https://www.youtube.com/watch?v=0TJuJTFEBbs', 'duration': 35.0}}
Garden Explorer	10_seasons	10_seasons.ogv		"Knowledge star `10_seasons` — ""Seasons in the garden"" (zone=map)"	One Year. One Tree. One Drone.webm	https://commons.wikimedia.org/wiki/File:One_Year._One_Tree._One_Drone.webm		Wikimedia Commons contributor	CC-BY	0	18.1	18.1	Seasons in the garden: The garden changes with the seasons. In spring we plant seeds, and in summer everything grows tall in the sunshine. In fall we harvest, and leaves turn orange and red. In winter the garden rests under the frost, dreaming of spring!	12-star curriculum with ElevenLabs VO	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'commons', 'bibliography_youtube_alternate': 'Scratch Garden — The Seasons Song', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=H32W-6CKdfk', 'stars_tsv_planned_trim': {'start': 20.0, 'end': 60.0, 'url': 'https://www.youtube.com/watch?v=0TJuJTFEBbs', 'duration': 40.0}, 'license_note': 'Commons file-page verification recommended'}
Garden Explorer	11_animals	11_animals.ogv		"Knowledge star `11_animals` — ""Garden animals"" (zone=fence)"	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/11_animals.png		Project / Sprout Lands-derived portraits	OWN	0	17.5	17.5	Garden animals: A farm garden is full of animal friends. Chickens give us eggs, and cows give us milk. Dogs keep watch, and rabbits hop around looking for greens to nibble. Taking care of animals every day is a big part of life on a farm!	12-star curriculum with ElevenLabs VO	True	{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': 'Farm Animals for Kids', 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=zFtMamMUAVw', 'stars_tsv_planned_trim': {'start': 220.0, 'end': 255.0, 'url': 'https://www.youtube.com/watch?v=0TJuJTFEBbs', 'duration': 35.0}}
Garden Explorer	12_store	12_store.ogv		"Knowledge star `12_store` — ""Storing the harvest"" (zone=shed)"	Ken-Burns pan of in-game portrait/tile art	game/assets/tiles/concepts/12_store.png		Project / Sprout Lands-derived portraits	OWN	0	17.4	17.4	Storing the harvest: After the harvest, we save food to enjoy later. Pumpkins and potatoes keep for months in a cool, dark place. Some fruits become jam, and some vegetables become pickles! Storing food means we can taste our summer garden even in winter.	12-star curriculum with ElevenLabs VO	True	"{'pipeline': 'build_edu_videos.py', 'footage_type': 'ken_burns', 'bibliography_youtube_alternate': ""How we store ONE year's worth of Homegrown Food"", 'bibliography_youtube_url': 'https://www.youtube.com/watch?v=Bn5NvhoU_Dk', 'stars_tsv_planned_trim': {'start': 250.0, 'end': 280.0, 'url': 'https://www.youtube.com/watch?v=0TJuJTFEBbs', 'duration': 30.0}}"
Garden Explorer	intro	intro.ogv		First-launch IntroPanel	Recorded playthrough montage	docs/demo/garden_explorer_playthrough.mp4		OWN	OWN	0	62.6	62.6	Narrated garden tour	build_intro_explainer.py	True	{}
Garden Explorer	animal_chicken	animal_chicken.ogv		Pen animal reveal (Buddy video skipped in gameplay)	Ken-Burns pan of in-game portrait/tile art	game/assets/portraits/animal_chicken_a.png		Project / Sprout Lands-derived portraits	OWN	0	19.0	19.0	Chickens are curious birds that live together in a flock. They scratch the dirt with their feet to find seeds and tasty bugs. A mother hen lays about one egg every day, and she loves a cozy nest. Chickens even take baths in dust to keep their feathers clean!	Animal education	True	{'footage_type': 'ken_burns'}
Garden Explorer	animal_rabbit	animal_rabbit.ogv		Pen animal reveal (Buddy video skipped in gameplay)	Pet rabbit eating grass.webm	https://commons.wikimedia.org/wiki/File:Pet_rabbit_eating_grass.webm		Wikimedia Commons contributor	CC-BY-SA	0	20.1	20.1	Rabbits have long ears that can turn almost all the way around to listen. Their big front teeth never stop growing, so they nibble all day long. Rabbits hop fast and dig cozy burrows underground. On a farm, rabbits munch on grass, carrots, and leafy greens.	Animal education	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'}
Garden Explorer	animal_pig	animal_pig.ogv		Pen animal reveal (Buddy video skipped in gameplay)	Pigs eating AppletonFarms Massachusetts 2024-10.webm	https://commons.wikimedia.org/wiki/File:Pigs_eating_AppletonFarms_Massachusetts_2024-10.webm		Wikimedia Commons contributor	CC-BY-SA	0	17.9	17.9	Pigs are some of the smartest animals on a farm. They use their strong snouts to sniff and dig for food. Pigs roll in the mud to stay cool — it works like nature's sunscreen. A happy pig wags its curly tail, just like a puppy!	Animal education	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'}
Garden Explorer	animal_cow	animal_cow.ogv		Pen animal reveal (Buddy video skipped in gameplay)	Cow grazing in the farm.webm	https://commons.wikimedia.org/wiki/File:Cow_grazing_in_the_farm.webm		Wikimedia Commons contributor	CC-BY-SA	0	20.7	20.7	Cows are gentle giants that spend the whole day munching grass. A cow has a special tummy with four parts to help digest her food. Cows give us milk, which becomes cheese, butter, and ice cream. Every cow has her own pattern of spots — no two are the same!	Animal education	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'}
Garden Explorer	animal_dog	animal_dog.ogv		Pen animal reveal (Buddy video skipped in gameplay)	Ken-Burns pan of in-game portrait/tile art	game/assets/portraits/animal_dog.png		Project / Sprout Lands-derived portraits	OWN	0	16.2	16.2	Farm dogs are hard workers and best friends. They help round up the animals and keep everyone safe. A dog can smell about ten thousand times better than you can! At the end of the day, a farm dog loves a good belly rub.	Animal education	True	{'footage_type': 'ken_burns'}
Garden Explorer	coop_eggs	coop_eggs.ogv		Coop look (World.gd)	coop_eggs.mp4	tools/media_src/footage/coop_eggs.mp4		Undocumented local footage	BLOCKER	0	19.8	19.8	This is the chicken coop, where the hens sleep and lay their eggs. Every morning, farmers gently lift the eggs out of the nesting boxes. The hens keep their eggs warm and cozy in the soft straw. Fresh eggs get washed and kept cool — ready for breakfast!	Egg collection lesson	True	{'undocumented_source': 'coop_eggs.mp4'}
Garden Explorer	bug_ladybug	bug_ladybug.ogv		Bug catch (Ladybug)	2022-06-02 LJUBLJANA Karlovško predmestje COCCINELLIDAE Cucujoidea PIKAPOLONICA.webm	https://commons.wikimedia.org/wiki/File:2022-06-02_LJUBLJANA_Karlovško_predmestje_COCCINELLIDAE_Cucujoidea_PIKAPOLONICA.webm		Wikimedia Commons contributor	CC-BY-SA	0	18.5	18.5	Ladybugs are a gardener's best helpers. One ladybug can munch fifty aphids in a single day, and that protects our plants. Their bright red shells warn birds to stay away. When ladybugs fly, their spotted shells lift up like tiny doors!	Bug education	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'}
Garden Explorer	bug_rolly_polly	bug_rolly_polly.ogv		Bug catch (Rolly Polly)	Pill woodlouse (Armadillidium vulgare).webm	https://commons.wikimedia.org/wiki/File:Pill_woodlouse_(Armadillidium_vulgare).webm		Wikimedia Commons contributor	CC-BY-SA	0	19.5	19.5	Rolly pollies curl into a tiny ball when they feel shy. They are not insects at all — they are cousins of crabs! They eat old leaves and turn them into fresh soil for the garden. Rolly pollies love damp, cozy places under rocks and logs.	Bug education	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'}
Garden Explorer	bug_earthworm	bug_earthworm.ogv		Bug catch (Earthworm)	Ver qui s'enfouit cropped.webm	https://commons.wikimedia.org/wiki/File:Ver_qui_s'enfouit_cropped.webm		Wikimedia Commons contributor	CC-BY-SA	0	18.1	18.1	Earthworms are underground gardeners. As they wiggle, they dig little tunnels so plant roots get air and water. Worms eat old leaves and leave behind rich food for the soil. A worm has no eyes, but it can still feel light and shadows!	Bug education	True	{'footage_type': 'commons', 'license_note': 'Commons file-page verification recommended'}
